,ORG_NOME,PAPP_COD,PAPP_NOME,PAPP_PN,APAA_CODI,APAA_DATA,APAA_STATUS
37531,C&D ZODIAC,3739,Double Front Row Seat Assembly,41202040-103,,,
37532,C&D ZODIAC,3740,FWD Attendant Seat (AFT Facing),41131001-209,,,
37533,C&D ZODIAC,3741,AFT Attendant Seat (AFT Facing),41131001-211,,,
37534,C&D ZODIAC,3742,FWD Attendant Seat (AFT Facing),41131001-201,,,
37535,C&D ZODIAC,3743,AFT Attendant Seat (FWD Facing),41142001-151,,,
37536,C&D ZODIAC,3744,"Double Attendant Seat, AFT Facing",41461001-105,,,
37537,C&D ZODIAC,3745,Double Standard Seat Assembly,41192042-101,,,
37538,C&D ZODIAC,3746,Double Standard Seat Assembly,41192042-102,,,
37539,C&D ZODIAC,3747,Double FWD Exit Seat Assembly,41192042-103,,,
37540,C&D ZODIAC,3748,Double FWD Exit Seat Assembly,41192042-104,,,
37541,C&D ZODIAC,3749,Double AFT Exit Seat Assembly,41192042-105,,,
37542,C&D ZODIAC,3750,Double AFT Exit Seat Assembly,41192042-106,,,
37543,C&D ZODIAC,3751,Double Last Row Seat Assembly,41192042-107,,,
37544,C&D ZODIAC,3752,Double Last Row Seat Assembly,41192042-108,,,
37545,C&D ZODIAC,3753,Double Front Row Seat Assembly,41202042-101,,,
37546,C&D ZODIAC,3754,Double Front Row Seat Assembly,41202042-102,,,
37547,C&D ZODIAC,3755,Standard Bottom Cushion Assembly,41401025-533,,,
37548,C&D ZODIAC,3756,Standard Bottom Cushion Assembly,41401025-529,,,
37549,C&D ZODIAC,3757,"LH F/C Single Seat Assembly, FWD",41402017-101,,,
37550,C&D ZODIAC,3758,LH F/C Single Seat Assembly,41402017-103,,,
37551,C&D ZODIAC,3759,"RH F/C Double Seat Assembly, FWD",41412017-101,,,
37552,C&D ZODIAC,3760,RH F/C Double Seat Assembly,41412017-103,,,
37553,C&D ZODIAC,3761,"Double Attendant Seat, AFT Facing",41461001-107,,,
37554,C&D ZODIAC,3762,"LH F/C Single Seat Assembly, Front Row",41402015-101,,,
37555,C&D ZODIAC,3763,LH F/C Single Seat Assembly,41402015-103,,,
37556,C&D ZODIAC,3764,"RH F/C Double Seat Assembly, Front Row",41412015-101,,,
37557,C&D ZODIAC,3765,RH F/C Double Seat Assembly,41412015-103,,,
37558,C&D ZODIAC,3766,FWD Attendant Seat (AFT Facing),41131001-213,,,
37559,C&D ZODIAC,3767,AFT Attendant Seat (AFT Facing),41131001-215,,,
37560,C&D ZODIAC,3768,AFT Attendant Seat (FWD Facing),41142001-159,,,
37561,C&D ZODIAC,3769,Standard Bottom Cushion Assembly,41191142-573,,,
37562,C&D ZODIAC,3770,Standard Bottom Cushion Assembly,41401025-531,,,
37563,C&D ZODIAC,3771,"RH F/C Double Seat Assembly, AFT",41412015-105,,,
37564,C&D ZODIAC,3772,Double Standard Seat Assembly,41192044-101,,,
37565,C&D ZODIAC,3773,Double Standard Seat Assembly,41192044-102,,,
37566,C&D ZODIAC,3774,Double FWD Exit Seat Assembly,41192044-103,,,
37567,C&D ZODIAC,3775,Double FWD Exit Seat Assembly,41192044-104,,,
37568,C&D ZODIAC,3776,Double AFT Exit Seat Assembly,41192044-105,,,
37569,C&D ZODIAC,3777,Double AFT Exit Seat Assembly,41192044-106,,,
37570,C&D ZODIAC,3778,Double Last Row Seat Assembly,41192044-107,,,
37571,C&D ZODIAC,3779,Double Last Row Seat Assembly,41192044-108,,,
37572,C&D ZODIAC,3780,Double Front Row Seat Assembly,41202044-101,,,
37573,C&D ZODIAC,3781,Double Front Row Seat Assembly,41202044-102,,,
37574,C&D ZODIAC,3782,FWD Attendant Seat (AFT Facing),41131001-221,,,
37575,C&D ZODIAC,3783,AFT Attendant Seat (FWD Facing),41142001-161,,,
37576,C&D ZODIAC,3784,"Double Attendant Seat, AFT Facing",41461001-109,,,
37577,C&D ZODIAC,3785,Double Standard Seat Assembly,41192043-101,,,
37578,C&D ZODIAC,3786,Double Standard Seat Assembly,41192043-102,,,
37579,C&D ZODIAC,3787,Double Last Row Seat Assembly,41192043-103,,,
37580,C&D ZODIAC,3788,Double Last Row Seat Assembly,41192043-104,,,
37581,C&D ZODIAC,3789,Double Front Row Seat Assembly,41202043-101,,,
37582,C&D ZODIAC,3790,Double Front Row Seat Assembly,41202043-102,,,
37583,C&D ZODIAC,3794,LH F/C Single Seat Assembly,41402005-111,,,
37584,C&D ZODIAC,3795,"LH F/C Single Seat Assembly, AFT",41402005-113,,,
37585,C&D ZODIAC,3796,RH F/C Double Seat Assembly,41412005-111,,,
37586,C&D ZODIAC,3797,Double Standard Seat Assembly,41192013-111,,,
37587,C&D ZODIAC,3798,Double Standard Seat Assembly,41192013-112,,,
37588,C&D ZODIAC,3799,Double Last Row Seat Assembly,41192013-113,,,
37589,C&D ZODIAC,3800,Double Last Row Seat Assembly,41192013-114,,,
37590,C&D ZODIAC,3801,Double Front Row Seat Assembly,41202013-111,,,
37591,C&D ZODIAC,3802,Double Front Row Seat Assembly,41202013-112,,,
37592,C&D ZODIAC,3882,Double Standard Seat Assembly,41192045-101,,,
37593,C&D ZODIAC,3883,Double Standard Seat Assembly,41192045-102,,,
37594,C&D ZODIAC,3884,Double FWD Exit Seat Assembly,41192045-103,,,
37595,C&D ZODIAC,3885,Double FWD Exit Seat Assembly,41192045-104,,,
37596,C&D ZODIAC,3886,Double AFT Exit Seat Assembly,41192045-105,,,
37597,C&D ZODIAC,3887,Double AFT Exit Seat Assembly,41192045-106,,,
37598,C&D ZODIAC,3888,Double Last Row Seat Assembly,41192045-107,,,
37599,C&D ZODIAC,3889,Double Last Row Seat Assembly,41192045-108,,,
37600,C&D ZODIAC,3890,Double Standard Seat Assembly,41192045-111,,,
37601,C&D ZODIAC,3891,Double Standard Seat Assembly,41192045-112,,,
37602,C&D ZODIAC,3892,Double Front Row Seat Assembly,41202045-102,,,
37603,C&D ZODIAC,3893,Double Front Row Seat Assembly,41202045-101,,,
37604,C&D ZODIAC,3894,Standard Bottom Cushion Assembly,41191142-577,,,
37605,C&D ZODIAC,3895,Standard Bottom Cushion Assembly,41191142-579,,,
37606,C&D ZODIAC,3897,Standard Bottom Cushion Assembly,41121012-507,,,
37607,C&D ZODIAC,3898,Double Standard,41122007-101,,,
37608,C&D ZODIAC,3899,Double Standard,41122007-102,,,
37609,C&D ZODIAC,3900,Double Last Row,41122007-103,,,
37610,C&D ZODIAC,3901,Double Last Row,41122007-104,,,
37611,C&D ZODIAC,3902,Double Exit Row,41122007-105,,,
37612,C&D ZODIAC,3903,Double Exit Row,41122007-106,,,
37613,C&D ZODIAC,3904,Double FWD Exit Row,41122007-107,,,
37614,C&D ZODIAC,3905,Double FWD Exit Row,41122007-108,,,
37615,C&D ZODIAC,3906,Double Front Row,41242007-101,,,
37616,C&D ZODIAC,3907,Double Front Row,41242007-102,,,
37617,C&D ZODIAC,3908,FWD Attendant Seat (AFT Facing),41131001-217,,,
37618,C&D ZODIAC,3909,AFT Attendant Seat (AFT Facing),41131001-219,,,
37619,C&D ZODIAC,3910,AFT Attendant Seat (FWD Facing),41142001-163,,,
37620,C&D ZODIAC,3925,"Double Attendant Seat, AFT Facing",41461001-111,,,
37621,C&D ZODIAC,3926,AFT Attendant Seat (FWD Facing),41142001-165,,,
37622,C&D ZODIAC,3927,AFT Attendant Seat (AFT Facing),41131001-223,,,
37623,C&D ZODIAC,3930,AFT Attendant Seat (FWD Facing),41142001-153,,,
37624,C&D ZODIAC,3931,FWD Attendant Seat (AFT Facing),41131001-203,,,
37625,C&D ZODIAC,3932,AFT Attendant Seat (AFT Facing),41131001-205,,,
37626,C&D ZODIAC,3933,Standard Bottom Cushion Assembly,41191142-583,,,
37627,C&D ZODIAC,3934,Double Standard Seat Assembly,41192046-101,,,
37628,C&D ZODIAC,3935,Double Standard Seat Assembly,41192046-102,,,
37629,C&D ZODIAC,3936,Double FWD Exit Seat Assembly,41192046-103,,,
37630,C&D ZODIAC,3937,Double FWD Exit Seat Assembly,41192046-104,,,
